word_count,char_count,has_urgency_keyword,exclamation_count,question_mark_count,caps_ratio,sentiment_polarity,mention_count,priority
12.0,60.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
25.0,130.0,0,1.0,0.0,0.0,0.0,0.0,NORMAL
7.0,31.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
14.0,93.0,0,1.0,0.0,0.0,0.2,0.0,URGENT
16.0,94.0,0,0.0,0.0,0.125,-0.03571428571428571,0.0,NORMAL
19.0,86.0,1,0.0,0.0,0.0,0.11818181818181818,0.0,URGENT
20.0,107.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
16.0,100.0,1,0.0,1.0,0.0,-0.15555555555555556,0.0,URGENT
4.0,17.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
22.0,131.0,0,0.0,0.0,0.0,-0.5,2.0,NORMAL
11.0,81.0,1,0.0,0.0,0.0,0.1787878787878788,0.0,URGENT
4.0,17.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
9.0,41.0,0,0.0,0.0,0.0,-0.2916666666666667,0.0,NORMAL
15.0,68.0,0,0.0,0.0,0.0,0.09375,0.0,NORMAL
21.0,124.0,0,0.0,0.0,0.047619047619047616,-0.75,0.0,NORMAL
42.0,264.0,0,0.0,1.0,0.09523809523809523,0.2,0.0,NORMAL
19.0,125.0,0,0.0,1.0,0.0,0.15,0.0,URGENT
4.0,23.0,0,1.0,0.0,0.0,0.0,0.0,NORMAL
25.0,135.0,0,0.0,1.0,0.0,0.1,1.0,NORMAL
21.0,126.0,1,0.0,0.0,0.0,-0.3666666666666667,0.0,URGENT
14.0,66.0,0,0.0,3.0,0.0,0.0,1.0,URGENT
19.0,115.0,0,0.0,1.0,0.0,0.5,0.0,NORMAL
35.0,183.0,0,0.0,0.0,0.05714285714285714,0.1888888888888889,1.0,URGENT
13.0,63.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
52.0,261.0,0,0.0,0.0,0.0,0.1,1.0,NORMAL
47.0,247.0,1,0.0,0.0,0.0,0.125,1.0,URGENT
19.0,81.0,0,0.0,0.0,0.05263157894736842,0.0,0.0,URGENT
12.0,75.0,0,0.0,1.0,0.0,-0.16666666666666666,0.0,NORMAL
5.0,24.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
23.0,121.0,0,0.0,0.0,0.0,0.41111111111111115,0.0,NORMAL
7.0,47.0,0,0.0,3.0,0.0,0.0,0.0,NORMAL
24.0,140.0,0,0.0,0.0,0.0,-0.13333333333333333,1.0,NORMAL
22.0,139.0,1,0.0,0.0,0.0,-0.1482638888888889,0.0,URGENT
7.0,32.0,1,0.0,0.0,0.0,0.0,0.0,URGENT
25.0,131.0,0,0.0,1.0,0.04,0.2333333333333333,1.0,NORMAL
22.0,121.0,0,0.0,1.0,0.0,0.1,0.0,URGENT
4.0,18.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
18.0,112.0,0,0.0,0.0,0.0,0.2,1.0,URGENT
12.0,57.0,0,0.0,0.0,0.0,-0.5,0.0,NORMAL
19.0,112.0,1,0.0,0.0,0.0,0.0,0.0,URGENT
29.0,122.0,0,0.0,0.0,0.0,0.325,0.0,NORMAL
11.0,56.0,1,0.0,0.0,0.0,-0.1,0.0,URGENT
